analysis_id,manuscript_target,unit,governance_filter,status,source
PRISMA,Methods and Results,records/reports/studies,"locked Phase A-C counts",ready,02_RESULTS_PRISMA_206_EN.tex
CG,Methods and Results,claims,"all 8306 claims classified by survey_use_class",ready,03_CLAIM_GOVERNANCE_EN.tex
S1,Section IV,unique study_cluster_id,"included studies; canonical modality; one study weight",ready,07_PHASE_F_S1_S7_RESULTS_EN.tex + s1_modality.csv
S2,Section IV,unique study_cluster_id,"included studies; multi-label integration mechanisms",ready,07_PHASE_F_S1_S7_RESULTS_EN.tex + s2_integration_mechanisms.csv
S3,Section V,metric claims,"exclude quarantined and context-only; preserve measurement plane and validation context",ready,07_PHASE_F_S1_S7_RESULTS_EN.tex + s3_metric_domains.csv
S4,Section V,trade-off claims,"exclude quarantined links; distinguish controlled quantitative sweeps from descriptive coexistence",ready,07_PHASE_F_S1_S7_RESULTS_EN.tex + s4_tradeoff_families.csv
S5,Methods/Results/Discussion,unique study_cluster_id,"finalized Phase-E TQAF and validation maturity",ready,06_PHASE_E_TQAF_RESULTS_EN.tex + risk_of_bias.csv
S6,Section VII,unique study_cluster_id,"multi-label enabling technologies and applications; fallback-only other; report nonexclusive totals",ready,07_PHASE_F_S1_S7_RESULTS_EN.tex + S6 CSV tables
S7,Section VIII,unique study_cluster_id,"source-located gaps plus objective TQAF deficits and frozen 6G relevance",ready,06/07 Phase-E and Phase-F outputs
APPX,Included-studies appendix,unique study_cluster_id,"206 studies; report lineage in separate field",ready,11_INCLUDED_STUDIES_206.csv + 11_INCLUDED_STUDIES_206.tex + QA JSON
ABSTRACT,Abstract,records/reports/studies/claims,"locked Phase A-F counts and bounded conclusions",ready,09_ABSTRACT_206_EN.tex
DISCUSSION,Discussion/Roadmap/Conclusion,study and claim synthesis,"Phase-E certainty + Phase-F S1-S7; explicit review limitations",ready,10_DISCUSSION_CONCLUSION_206_EN.tex
