paper_id,section,macro_domain,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,medium,application_domains_json,application_domains_canonical,macro_domains_json,scenario_description,scenario_labels,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_001,7E,space_satellite,space communication,lexical,NONE,The text does not mention space satellites directly or indirectly.,"The next generation of wireless networks, commonly referred to as 6G, is expected to revolutionize the landscape of telecommunication by enabling ubiquitous connectivity, extreme reliability, ultra-low latency, and integration with sensing and intelligence. Optical Wireless Communication (OWC), which includes free-space communications mainly in visible light (VLC) or infrared free space optics (FSO), is gaining recognition as a complementary technology to traditional radio frequency (RF) communication [1]. OWC offers several advantages, including ultra-large unlicensed bandwidth, immunity to electromagnetic interference, and enhanced physical layer security due to its spatial confinement [2].",19,19,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,7E,space_satellite,space communication,fuzzy:89.47368421052632,NONE,The text does not mention space satellites directly or indirectly.,"The dual use of communication signals for both data transmission and environmental sensing is emerging as a key feature in 6G wireless systems. This approach, often referred to as integrated sensing and communication (ISAC), enables devices to extract contextual information, such as position, motion, or occupancy. from the same signals used for communication, reducing hardware complexity and power consumption. While ISAC has been primarily explored in the RF domain, its application to VLC [9,10] systems is gaining traction due to the unique properties of optical carriers. VLC inherently offers high spatial resolution and low interference, making it well-suited for indoor sensing tasks such as gesture recognition, object detection, and user localization. By leveraging the high bandwidth and directionality of optical channels, VLC systems can support high-speed communication while simultaneously enabling fine-grained sensing capabilities. This dual functionality is particularly attractive for smart environments, such as intelligent homes, offices, and factories, where minimizing infrastructure costs and maximizing system intelligence are crucial. Moreover, integrating sensing into VLC may enhance security and context-awareness, enabling adaptive communication strategies. As research progresses, new waveform designs,",35,35,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_002,7E,space_satellite,space communication,fuzzy:89.47368421052632,NONE,The text does not mention space satellites.,"**Abstract:** This paper explores the role of photonic terahertz technologies in integrated sensing and communication systems, focusing on integrated waveform design, optical processing, and algorithms to enhance communication capabilities and sensing performance. © 2025 The Author(s)",11,11,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems**,,,hybrid,6g_networks;indoor_positioning,6g_networks;indoor_positioning,indoor_environments,Photonic terahertz integrated sensing and communication system for indoor positioning and 6G networks,Indoor Photonic Terahertz ISAC System,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_002,7E,space_satellite,space communication,fuzzy:89.47368421052632,NONE,"The text discusses photonic terahertz technologies and integrated sensing and communication systems, but does not mention space satellites.","Despite the development of various THz-ISAC systems utilizing multi-dimensional multiplexing, challenges remain, including high hardware costs and a lack of additional integration gains [5-6]. These issues limit the synergy between communication and sensing, underscoring the need for new waveform and system design research that optimally aligns time and frequency resources to enhance ISAC system performance [12]. This paper overviews the vital role of photonic THz technologies in ISAC systems, with a focus on key areas such as integrated waveform design, optical coherent fusion processing for THz ISAC systems, and the development of algorithms and system designs that use photonic THz sensing to enhance communication capabilities.",17,17,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction**,,,hybrid,6g_networks;indoor_positioning,6g_networks;indoor_positioning,indoor_environments,Photonic terahertz integrated sensing and communication system for indoor positioning and 6G networks,Indoor Photonic Terahertz ISAC System,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_002,7E,space_satellite,space communication,fuzzy:89.47368421052632,NONE,"The text describes a multi-channel coherent fusion ISAC system architecture and photonic THz sensing, but does not mention space satellites.",#### 4. Photonic THz Sensing enhanced Communications,39,39,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction** > **2. Photonic THz ISAC Waveform Design** > 4. Photonic THz Sensing enhanced Communications,,,hybrid,6g_networks;indoor_positioning,6g_networks;indoor_positioning,indoor_environments,Photonic terahertz integrated sensing and communication system for indoor positioning and 6G networks,Indoor Photonic Terahertz ISAC System,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_002,7E,space_satellite,space communication,fuzzy:89.47368421052632,NONE,"The text discusses photonic THz-ISAC prototypes and sensing enhanced communications, but does not mention space satellites.","Recent photonic THz-ISAC prototypes have achieved timing resolution at the nanosecond level and positioning resolution on a millimeter scale, highlighting their potential to enhance communication performance without the need for separate sensing devices. Using the proposed LFM-PSK waveform depicted in Fig. 1, a complementary LFM sensing signal—featuring an opposite chirp slope and fractional amplitude—is periodically inserted to compensate for communication performance, as shown in Fig. 3a [10]. Theoretical analysis confirms that this LFM pair exhibits quasi-orthogonality, which enables adaptive synchronization in both time and frequency domains. Through matched filtering and the fractional Fourier transform (FrFT), time and frequency synchronization (in Fig. 3b) have been achieved in a 20 Gbit/s wireless link with a minimal synchronization overhead of only 0.5% [10-11]. Additionally, this concurrent sensing signal can support multipath channel estimation using a frequency-domain",41,41,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction** > **2. Photonic THz ISAC Waveform Design** > 4. Photonic THz Sensing enhanced Communications,,,hybrid,6g_networks;indoor_positioning,6g_networks;indoor_positioning,indoor_environments,Photonic terahertz integrated sensing and communication system for indoor positioning and 6G networks,Indoor Photonic Terahertz ISAC System,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_002,7E,space_satellite,space communication,fuzzy:89.47368421052632,NONE,"The snippet does not mention space_satellite explicitly or implicitly, it appears to be discussing experimental results of photonic THz sensing-enhanced communications.","Fig. 3 Experimental results of photonic THz sensing-enhanced communications on (a) time-synchronization, (b) frequency-synchronization, and (c) multipath channel compensation.",49,49,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction** > **2. Photonic THz ISAC Waveform Design** > 4. Photonic THz Sensing enhanced Communications,,,hybrid,6g_networks;indoor_positioning,6g_networks;indoor_positioning,indoor_environments,Photonic terahertz integrated sensing and communication system for indoor positioning and 6G networks,Indoor Photonic Terahertz ISAC System,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_004,7E,space_satellite,satellite communication,fuzzy:85.0,NONE,The snippet does not mention space satellites or any related concepts.,# Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication,5,5,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication,,,hybrid,telecommunication;sensing,telecommunication;sensing,smart_infrastructure,Integration of optical fiber sensing and telecommunication for smart monitoring in telecommunication networks,Adiabatic-tapered FMF-based system for integrated optical sensing and signal transmission,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_004,7E,space_satellite,satellite communication systems,fuzzy:87.09677419354838,NONE,"The snippet discusses optical fiber sensing and telecommunication systems, but does not mention space satellites or any related concepts.","In conclusion, we propose an adiabatic-tapered few-modefiber-based system for integrating sensing and telecommunication functions in a long-haul FMF, which can effectively integrate the existing infrastructure of fiber optical systems and telecommunication systems. The integration of optical fiber sensing and telecommunication transforms passive fiber networks into intelligent, self-monitoring systems, where the applications include smart cities, defense, and healthcare, with ongoing advancements in artificial intelligence and distributed sensing enhancing performance.",73,73,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication > III. RESULTS AND DISCUSSIONS > IV. CONCLUSION,,,hybrid,telecommunication;sensing,telecommunication;sensing,smart_infrastructure,Integration of optical fiber sensing and telecommunication for smart monitoring in telecommunication networks,Adiabatic-tapered FMF-based system for integrated optical sensing and signal transmission,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_005,7E,space_satellite,space communication,fuzzy:88.88888888888889,NONE,"The text does not mention space satellites. It discusses FSO signal, UAV-user communication, and channel gain, which are unrelated to space satellites.",#### C. UAV-User Communication,70,70,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions > I. INTRODUCTION > II. SYSTEM MODEL > C. UAV-User Communication,,,hybrid,uav_aerial,uav_aerial,automotive_transportation,UAV-aided mixed FSO-RF network for edge user capacity enhancement,UAV-aided mixed FSO-RF network,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_005,7E,space_satellite,space communication,fuzzy:88.88888888888889,NONE,"The text does not mention space satellites. It discusses UAV's sum-throughput, number of users covered by the UAV, and GBS-to-user channels, which are unrelated to space satellites.",#### D. GBS-User Communication,108,108,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions > I. INTRODUCTION > II. SYSTEM MODEL > D. GBS-User Communication,,,hybrid,uav_aerial,uav_aerial,automotive_transportation,UAV-aided mixed FSO-RF network for edge user capacity enhancement,UAV-aided mixed FSO-RF network,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_006,7E,space_satellite,space communication,fuzzy:89.47368421052632,NONE,"The provided snippet does not mention space satellites. It appears to be related to fiber optic sensing and communication technologies, with references to various research papers and conferences in the field of optical communications and networking.","- [24] M F. Huang, M. Salemi, Y. Chen, et al., ""First field trial of distributed fiber optical sensing and high-speed communication over an operational telecom network,"" Journal of Lightwave Technology ,2020, vol. 38, pp. 75-81.",185,185,REFERENCES,,,cabled_fibre,industrial_manufacturing;environmental_monitoring,industrial_manufacturing;environmental_monitoring,smart_infrastructure,"The paper discusses the use of ISAC-OF systems for vibration detection and localization in various scenarios, including industrial manufacturing and environmental monitoring.",Vibration detection using forward transmitted light,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_007,7E,space_satellite,,json,DIRECT,Structured study-level application domain mapping,Precision measurement of R angles and small rough spots in narrow spaces,,,,study_level.application.application_domain,industrial_manufacturing,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure;space_satellite,Precision measurement of R angles and small rough spots in narrow spaces,Narrow space measurement,json,DIRECT,,,False
O_ISAC_009,7E,space_satellite,satellite link,fuzzy:85.71428571428572,INDIRECT,"The text mentions 'four satellites' in the context of GPS service, which is related to space satellites, but it does not directly discuss space satellites or their specific functions.","For the calculation of PD coordinate  $\mathbf{c}_D = [x_D, y_D, z_D]$ , the three distances between the PD and three LEDs have to be estimated, so that the three variables of  $x_D$ ,  $y_D$  and  $z_D$  can be determined by triangulation. Nonetheless, when the LEDs and the PD are not perfectly synchronized, four LEDs have to be harnessed for determining an additional variable related to a synchronization error.' This technique is known as the time-difference-of-arrival (TDoA) [67]. For the same reason, the common GPS service requires four satellites instead of three. In this work, we focus our attention on the fundamental VLPC waveform design related to the detection of the distance between an LED transmitter and a PD receiver, as demonstrated by Fig. 1.",225,225,"<span id=""page-2-0""></span>*A. Scenarios and System Description* > <span id=""page-4-7""></span>E. Localization and Synchronization",,,wireless_vlc,indoor_positioning,indoor_positioning,indoor_environments,The system is designed for indoor positioning and communication applications.,Indoor VLC with bi-static sensing,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_011,7E,space_satellite,space communication,fuzzy:89.47368421052632,NONE,"The snippet does not mention space satellites, instead discussing indoor environments, optical ISAC, and communication systems.","In this paper, we propose a retroreflective optical ISAC supporting 3D Positioning in indoor environments, and it achieves the combination of high-speed communication and positioning functions by adding a small amount of complexity. Because its ranging way is passive, it will not lead to the deterioration of communication, only one CCR has been added at the receiving end. At the same time, multiple LEDs supply the diversity gain for the communication. And compared with radio frequency ISAC, it has higher bandwidth which means it can get higher ranging resolution. Simulation results show we can increase the length of cross-correlation calculation to well defend the influence of noise and make the system can adapt worse channel.",185,185,IV. CONCLUSION,,,hybrid,indoor_positioning,indoor_positioning,indoor_environments,3D positioning in indoor environments,Indoor 3D positioning,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_016,7E,space_satellite,space communication,fuzzy:89.47368421052632,NONE,"The text does not mention space satellites, it discusses photonic sub-THz integrated sensing and communication systems.","*Abstract—***The intelligence of future society necessitates an immediate requirement for ultra-high-speed communication and ultra-resolution sensing in the 6G era. In this demonstration, we present a photonic sub-THz integrated sensing and communication system. The demonstrated system achieves a real-time line rate of 251.03 Gbps and an offline sensing resolution of 2.5 cm, resulting in an impressive capacityresolution quotient of up to 100.41 Gbps/cm. The ultra-highspeed real-time communication is based on a fiber-THz-fiber transmission architecture, which boasts ultra-wideband realtime processing capability. Meanwhile, the ultra-resolution sensing is accomplished utilizing an optical frequency comb with low frequency offset and low phase noise.**",13,13,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution,,,hybrid,6g_networks,6g_networks,,Photonic sub-THz ISAC system for high-speed real-time communication and high-resolution sensing,Photonic sub-THz ISAC system,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_016,7E,space_satellite,space communication,fuzzy:89.47368421052632,NONE,"The text talks about 6G mobile communication networks and integrated sensing and communication, but does not mention space satellites.","The sixth-generation (6G) mobile communication network is under active development worldwide to meet the growing demand for advanced communication services in future society. Wireless communication frequency bands are gradually transitioning to higher frequency ranges, encompassing millimeter-wave (mmW) and terahertz (THz), to fulfill the ultra-high data rate requirements of future 6G. Integration of sensing and communication in mmW and THz bands is a crucial opportunity driven by the application of mmW/THz techniques in radar and mobile communication and the pressing need for collaboration between sensing and communication in prospective intelligent applications. Consequently, integrated sensing and communication (ISAC) has emerged as one of the pivotal 6G hallmarks of IMT-2030.",19,19,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution > I. INTRODUCTION,,,hybrid,6g_networks,6g_networks,,Photonic sub-THz ISAC system for high-speed real-time communication and high-resolution sensing,Photonic sub-THz ISAC system,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
