claim_id,claim_key,section,paper_id,concept,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,claim_supported
58f25737708b,4A|medium classification,4A,O_ISAC_001,medium classification,media classification,fuzzy:90.0,INDIRECT,"The text discusses Optical Wireless Communications (OWC) and modulation strategies, but does not directly classify a medium. However, it mentions material classification as a potential application of OWC, indicating an indirect relationship with medium classification.","*Abstract***—Optical Wireless Communications (OWC) is expected to play a significant role in the 6G ecosystem as a complementary technology to RF for indoor, outdoor and space applications. This paper reviews key modulation strategies for OWC that support both robust communication and sensing functionalities. We explore constant envelope OFDM (CE-OFDM), a waveform that mitigates nonlinearities and enhances performance under noise, as well as standard OFDM's potential for supporting joint communication and sensing tasks such as localization and material classification. The synergy between communication and sensing in OWC systems represents a key advancement toward the intelligent, efficient, and multifunctional wireless networks required in 6G.**",13,13,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,nan,nan,True
58f25737708b,4A|medium classification,4A,O_ISAC_001,medium classification,media classification,fuzzy:90.0,DIRECT,"This snippet directly discusses material classification using features derived from OFDM-based OWC signals and a framework for material classification, mentioning specific materials like glass, plastic, or aluminum.","In addition to localization, the information embedded in reflected or transmitted optical signals can be used to infer the physical properties of materials. In [11], it was introduced a framework for material classification using features derived from OFDM-based OWC signals. Their setup involved measuring Error Vector Magnitude (EVM) and distance between the laser source and target material, which were then fed into machine learning models to classify objects as glass, plastic, or aluminum.",41,41,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,nan,nan,True
58f25737708b,4A|medium classification,4A,O_ISAC_001,medium classification,media classification,fuzzy:90.0,INDIRECT,"The text provides a list of references related to Optical Wireless Communications, including a specific paper on material classification using OWC data and machine learning. While the text itself does not classify a medium, the referenced papers suggest a connection to medium classification, making the relationship indirect.","- [11] A. Duarte, A. Lima, M. Tcheou, M. Medeiros, V. Silva and F. Henriques, ""Material Classification Using Optical Wireless Communications Data and Machine Learning,"" 2025 IEEE 16th Latin America Symposium on Circuits and Systems (LASCAS), Bento Gonçalves, Brazil, 2025, pp. 1-5, doi: 10.1109/LASCAS64004.2025.10966357.",144,144,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > REFERENCES,nan,nan,True
6c7a88a6c36f,4A|detection type,4A,O_ISAC_001,detection type,detection kind,fuzzy:85.71428571428572,INDIRECT,"The concept of detection type is related to the discussion of IM/DD (intensity modulation and direct detection) in the context of VLC systems, but it is not the primary focus of the snippet.","The dual use of communication signals for both data transmission and environmental sensing is emerging as a key feature in 6G wireless systems. This approach, often referred to as integrated sensing and communication (ISAC), enables devices to extract contextual information, such as position, motion, or occupancy. from the same signals used for communication, reducing hardware complexity and power consumption. While ISAC has been primarily explored in the RF domain, its application to VLC [9,10] systems is gaining traction due to the unique properties of optical carriers. VLC inherently offers high spatial resolution and low interference, making it well-suited for indoor sensing tasks such as gesture recognition, object detection, and user localization. By leveraging the high bandwidth and directionality of optical channels, VLC systems can support high-speed communication while simultaneously enabling fine-grained sensing capabilities. This dual functionality is particularly attractive for smart environments, such as intelligent homes, offices, and factories, where minimizing infrastructure costs and maximizing system intelligence are crucial. Moreover, integrating sensing into VLC may enhance security and context-awareness, enabling adaptive communication strategies. As research progresses, new waveform designs,",35,35,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,nan,nan,True
234b0b62b711,4A|sensing task type,4A,O_ISAC_001,sensing task type,sensing task,lexical,INDIRECT,"The text mentions 'sensing functionalities' and 'joint communication and sensing tasks' which implies a connection to sensing tasks, but does not directly describe a sensing task type.","*Abstract***—Optical Wireless Communications (OWC) is expected to play a significant role in the 6G ecosystem as a complementary technology to RF for indoor, outdoor and space applications. This paper reviews key modulation strategies for OWC that support both robust communication and sensing functionalities. We explore constant envelope OFDM (CE-OFDM), a waveform that mitigates nonlinearities and enhances performance under noise, as well as standard OFDM's potential for supporting joint communication and sensing tasks such as localization and material classification. The synergy between communication and sensing in OWC systems represents a key advancement toward the intelligent, efficient, and multifunctional wireless networks required in 6G.**",13,13,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,nan,nan,True
234b0b62b711,4A|sensing task type,4A,O_ISAC_001,sensing task type,sensing task,lexical,NONE,"The text does not mention sensing tasks or related concepts, focusing instead on modulation schemes and techniques for improving power efficiency in wireless communications.","The dual use of communication signals for both data transmission and environmental sensing is emerging as a key feature in 6G wireless systems. This approach, often referred to as integrated sensing and communication (ISAC), enables devices to extract contextual information, such as position, motion, or occupancy. from the same signals used for communication, reducing hardware complexity and power consumption. While ISAC has been primarily explored in the RF domain, its application to VLC [9,10] systems is gaining traction due to the unique properties of optical carriers. VLC inherently offers high spatial resolution and low interference, making it well-suited for indoor sensing tasks such as gesture recognition, object detection, and user localization. By leveraging the high bandwidth and directionality of optical channels, VLC systems can support high-speed communication while simultaneously enabling fine-grained sensing capabilities. This dual functionality is particularly attractive for smart environments, such as intelligent homes, offices, and factories, where minimizing infrastructure costs and maximizing system intelligence are crucial. Moreover, integrating sensing into VLC may enhance security and context-awareness, enabling adaptive communication strategies. As research progresses, new waveform designs,",35,35,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,nan,nan,True
234b0b62b711,4A|sensing task type,4A,O_ISAC_001,sensing task type,sensing task,lexical,DIRECT,"The snippet explicitly mentions 'sensing' and 'integrated communication and sensing tasks' in the context of CE-OFDM's properties, directly relating to the concept of sensing task type.","In summary, CE-OFDM emerges as a compelling waveform for VLC systems in 6G, offering advantages in both communication robustness and potential for localization. Its constant-envelope nature ensures compatibility with nonlinear optical front-ends, while its favorable ambiguity function properties support high-resolution sensing. These attributes make CE-OFDM a strong candidate for integrated communication and sensing tasks in future optical wireless networks.",128,128,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > V. CONCLUSION,nan,nan,True
ba85a5531ad9,4A|json:oisac_medium_class,4A,O_ISAC_001,json:oisac_medium_class,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.oisac_medium_class,wireless_vlc,True
35bdf27b274e,4A|json:carrier_band,4A,O_ISAC_001,json:carrier_band,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.carrier_band,visible,True
bb39815f71bd,4A|json:operational_environment,4A,O_ISAC_001,json:operational_environment,nan,json,DIRECT,Structured classification field,nan,,,nan,study_level.classification.operational_environment,indoor,True
