paper_id,caption,columns
COMST_003,COMPARISON AMONG DIFFERENT RL TECHNIQUES,"['Techniques', 'Problem Solving']"
COMST_003,"<span id=""page-25-4""></span><span id=""page-25-3""></span>outperform the traditional RFA schemes in terms of user fairness and increased overall network capacity. However, when designing this scheme improving the hand-off process when users travel from one location to another and introducing sectors inside the cell to reduce the density of interferences were not taken into account. To address the multi-tier interference issue, the authors of [\[134\]](#page-37-28) suggested a prioritized radio-access system based on a frequency hopping (FH) technique. The radio-access priorities are endowed to users at different levels using a new FH pattern (FH sequence set) with multi-level Hamming correlations. In a multi-tier HetNets UL, a low peakto-average-power-ratio (PAPR) FH-based OFDM system using the proposed FH sequence set was considered. The numerical and simulation findings showed that the proposed FH sequence set may decrease multi-tier interference in HetNet ULs while still supporting high transmission quality and SE for multi-tier UEs, even at the cell-edge of HetNets. The proposed approach investigated FH with two-level access priorities applied to HetNet ULs, but a general case of flexible multi-level was not examined. To alleviate the impact of both cross-tier and co-tier interference, the authors of [\[135\]](#page-37-29) developed an Edge-Aware RRH-Cooperation (EARC) method for Cell Edge Devices (CED) and Non-cell Edge Devices (NED). These two device classes, CEDs and NEDs, are operated in dual-association and single-association modes, respectively. On one hand, NEDs","['Method', 'Interference', ';', 'Definition', 'Advantage', 'Disadvantage']"
COMST_004,TABLE IV *(Continued.)* SUMMARY OF STUDIES IN POST-QUANTUM BLOCKCHAINS,"['Hash-based', '[68]', 'Efficient     Relatively small key sizes (compared to hash-based approaches)', 'The authors use hash-based SDS to reduce the hash tree-creating time and the sizes of keys and signatures. The relatively small key size is achieved by building a key compression tree instead of directly using XMSS.', 'The authors developed a testbed on a Windows device using Python, and their results indicate that SDS outperforms two instances of XMSS in terms of efficiency.']"
COMST_004,TABLE VII (Continued.) SUMMARY OF STUDIES IN QUANTUM BLOCKCHAINS,"['<ul> <li>[197] • A chain of quantum states</li> <li>• Relative phases for consensus</li> </ul>', 'The work proposes to use the quantum-weighted hypergraph states for chaining. Consensus is achieved based on the phases carried by the hyperedges of the quantum-weighted hypergraph states.', ""The study proposed a protocol for building a quantum blockchain and conducted a proof-of-concept by implementing it on IBM's 5-qubit computer. The effectiveness and security of the protocol were discussed.""]"
COMST_005,"<span id=""page-11-0""></span>","['Models', 'Ref.', 'Year', 'Focus', 'Model Input', 'Model Output', 'Performance Metrics']"
COMST_005,"<span id=""page-13-0""></span>","['Models', 'Ref.', 'Year', 'Focus', 'Model Action', 'Model Reward', 'Performance Metrics']"
COMST_005,"<span id=""page-18-0""></span>","['Techniques', 'Ref.', 'Year', 'Frequency', 'Scenarios', 'Sensing Source', 'Sensing Information', 'Focus']"
COMST_005,"<span id=""page-24-0""></span>","['-', '<b>Fechniques</b>', 'Ref.', 'Year', 'Frequency', 'Scenarios', 'RIS<br>Configuration', 'Focus', 'Performance Metrics']"
COMST_007,"<span id=""page-29-7""></span><span id=""page-29-0""></span>mmWave sensing has become more and more popular with the development of the 5G network and automatic driving. This survey focuses on recent research advances in mmWave-based human sensing. This survey presents various hardware and the key techniques of mmWave sensing, reviews existing mmWave sensing works based on different sensing tasks, i.e., human tracking and localization, motion recognition, biometric measurement and human imaging. We further discuss potential challenges and future directions, including hardware and platforms, enhancing the applicability, novel sensing schemes, and integration with new mediums.",['LIST OF ABBREVIATIONS']
COMST_008,"<span id=""page-13-0""></span>COMPARISON OF QUANTUM NETWORK ROUTING PROTOCOLS. THE REFERENCES IN THE FIRST COLUMN ARE LISTED IN CHRONOLOGICAL ORDER FROM TOP TO BOTTOM. ✓ (✗) INDICATES THAT THE CORRESPONDING FACTOR IS CONSIDERED (IGNORED). THE PHRASE ""LOCAL/GLOBAL INFORMATION"" REFERS TO THE USE OF LOCAL/GLOBAL LINK STATE INFORMATION IN ROUTING PROTOCOLS. THE TERMS ""ADVANCE"" AND ""ON-DEMAND"" ARE ABBREVIATIONS FOR THE ""ADVANCE GENERATION"" AND ""ON-DEMAND GENERATION"" MODELS, RESPECTIVELY","['Reference', 'Routing metric', 'Network<br>topology', 'Fidelity', 'Success rate of elementary links', 'Success rate of ES', 'Local/global information', 'Advance/<br>on-demand']"
COMST_011,"TABLE IV COMPARISON OF B5G ATTRIBUTES FOR SMART CITIES -ASURVEY BY ITU [\[5\]](#page-29-4), [\[44\]](#page-30-2)","['Attributes', 'Values']"
COMST_012,"<span id=""page-6-6""></span>Related work on semi-automated and automated reverse engineering has shown that the data-collection and decoding time can be reduced by, respectively, one and two orders-ofmagnitude over the manual approach [\[21\]](#page-32-20), [\[24\]](#page-33-1), [\[60\]](#page-33-37), [\[61\]](#page-33-38). Note, however, that, in the case of manual reverse engineering, the times for the two operations overlap, and hence should not be added up.","['Manual', 'Semi-Automated', 'Fully-Automated']"
